twrank,twhandle,twtext
251,@Guldenay007,197
252,@ezgibasaran,197
253,@ihsanozkes,197
254,@nurcanakad,197
255,@nazlicanozkan,195
256,@cananbarlas,195
257,@AylinNazliaka,195
258,@Mustafa_Destici,195
259,@AltanSan,193
260,@KamerGen1,191
261,@aDilipak,189
262,@oktayvural,188
263,@sermiyanmidyat,188
264,@cibecicina,187
265,@MirgunCabas,187
266,@aykanerdemir,187
267,@amberinzaman,186
268,@attilao,185
269,@ersozhuseyin,184
270,@haluk_eyidogan,182
271,@obasturk,180
272,@OzlemGurses,180
273,@demetsagiroglu,180
274,@fuatkozluklu,178
275,@NeslihanYargici,175
276,@tufandarbaz,174
277,@Sebnemisiguzel,173
278,@ETemelkuran,172
279,@izzetcapa,171
280,@Valimutlu,171
281,@SalarMurat,170
282,@karadagerhan,167
283,@AylinAsLIM,167
284,@CandanYceer,166
285,@gunaydingokhan,166
286,@_cevdetyilmaz,163
287,@iskenderpaydas,163
288,@kilicdarogluk,163
289,@yildarado,162
290,@M_Sarigul,162
291,@tekinlatife,162
292,@poyrazalti,162
293,@feraitinc,161
294,@Notredamedesion,160
295,@ugurdundarsozcu,160
296,@suleymansarilar,160
297,@Deniz_Zeyrek,160
298,@mucahitbilici,159
299,@elifkey,159
300,@ATuncayOzkan,158
301,@katkaya,157
302,@isbecer,157
303,@gurseltekin34,156
304,@melihbayramdede,156
305,@barispehlivan,156
306,@ebasaksengul,154
307,@GBilgehan,154
308,@mustafabalbay,154
309,@BayramogluDeniz,153
310,@_ertemsener,153
311,@sehrazatmusic,152
312,@haberaktif,152
313,@aycasenbaskan,152
314,@E_Sarizeybek,152
315,@degirmencirfan,151
316,@DenizUlke,151
317,@nacibostanci,151
318,@fuldenuras,150
319,@oz_zekeriya,150
320,@GaniMujde,150
321,@AkarRidvanakar,150
322,@firattanis,149
323,@ismail_yasa,149
324,@mhulkicevizoglu,148
325,@ErhanErkut,148
326,@CengizHrtgl,148
327,@halideincekara,147
328,@slymnoz,146
329,@umit_zileli,146
330,@seyitaliaral,146
331,@atillakart,144
332,@hc_huseyincelik,143
333,@ahmethc,143
334,@tezcanah,142
335,@nejatkocer,141
336,@MKilic52,140
337,@serapduygulu,140
338,@safakongan,138
339,@senlikogluemine,138
340,@hakanhepcan,137
341,@SirketDoktoru,136
342,@veliagbaba,136
343,@OzanOnen,136
344,@ceminaycem,135
345,@CicekDilligil,135
346,@zelkifkazdal,135
347,@fatosgurkan,134
348,@hakanchelik,134
349,@alkayaorhan,134
350,@farukbildirici,133
351,@fatoskarahasan,133
352,@necdetunuvar,132
353,@HSNCML,132
354,@kaanyakuphan,132
355,@ozlem_albayrak,131
356,@ibrahim_karagul,131
357,@NamiCAGAN,131
358,@lsdomicim,131
359,@ToprakBinnaz,130
360,@kaplanseren,130
361,@mevluttezel,129
362,@Av_SelamiOzturk,128
363,@rahsangulsan,127
364,@fuatavnifuat,127
365,@elifaktug,127
366,@ahmeteozguc,123
367,@eceerken,122
368,@AvarBanu,122
369,@mehmetgundem,122
370,@MuratKazanasmaz,122
371,@alphanmanas,122
372,@CetinSoysalCHP,122
373,@umitozdag,122
374,@saffetsancakli,122
375,@YZDMRGL,121
376,@memetsimsek,121
377,@vedatozdemiro,121
378,@hilalcebeciii,120
379,@zkarahanuslu,120
380,@dfikrisaglar,119
381,@husnumahalli,119
382,@cenkerenonline,118
383,@IsinGormusELLE,118
384,@OdunHerif,117
385,@hikmetcetinkaya,116
386,@meral_aksener,116
387,@Askdoktoru,115
388,@nurettin_demir,114
389,@burak,114
390,@MuratCelik_1,114
391,@_fatihsahin,112
392,@Balciceki,111
393,@celalpir,111
394,@yilmazodabasi,110
395,@AttilaKoksal,109
396,@SUAVI_SUAVI,109
397,@HDPDEMIRCELIK,108
398,@ismet_berkan,108
399,@yigitbulutt,108
400,@Tevfik_Yener,107
401,@turgayguler,107
402,@sonkibar,107
403,@KadirGokmenOgut,107
404,@taksimdayanisma,106
405,@keremtibuk,106
406,@aliHaslan,106
407,@nebilragip,106
408,@NiluferBulutt,106
409,@Elvin_Aghayev,106
410,@ducane,105
411,@HalukSicimoglu,105
412,@OF_Eminagaoglu,104
413,@taylan1789,102
414,@emrealkin1969,102
415,@orhanduzgun60,102
416,@esesci,100
417,@TUGBAOZAY10,100
418,@metehan_demir,100
419,@FatmaSahin2023,100
420,@futuristufuk,100
421,@mansuryavas06,100
422,@haluk_levent,97
423,@HasmetBABA,97
424,@leventerim,97
425,@Yasemin_Boran,96
426,@YrGngelopoulos,96
427,@SinaAfra,95
428,@DenizPulas,95
429,@Akasyaa,93
430,@bybekirbozdag,93
431,@ProfDrMaydin,93
432,@nrglyslcy,91
433,@Gurul,90
434,@Doarutkay,90
435,@sibeleraslan,90
436,@lalesivgin,89
437,@ZeynepGogus,89
438,@yavuz_semerci,89
439,@GeErgen,88
440,@LeventTuzel,88
441,@mustaf_unal,88
442,@Elif_Safak,87
443,@ZenginGurkan,87
444,@OsmanKoruturk,87
445,@eyupcansaglik,87
446,@FarukSorak,87
447,@ibrahimseten,87
448,@ismailhpolat,87
449,@suleymansoylu,86
450,@PervinBuldan,86
451,@erguven11,86
452,@feridun_duzagac,86
453,@adnankeskinCHP,85
454,@CandasTolga,85
455,@nasuhmahruki,85
456,@banuguven,84
457,@alperseri,84
458,@selcukayhn,83
459,@birgulaguler,83
460,@HuseyinYayman,83
461,@akkayasarp,83
462,@aziz_ustell,83
463,@pelinozkan,83
464,@DCLCANOVA,83
465,@sakiksirri,82
466,@halukilicak,82
467,@gokayotyam,82
468,@thealiagaoglu,82
469,@turgaydemirr,82
470,@zfrcbkc,81
471,@AysegulAldinc,80
472,@mserdark,80
473,@selalekadak,80
474,@idrisgulluce,80
475,@selcukerdem,80
476,@tubaunsal,80
477,@kizilirmakilkay,79
478,@MayaArakon_,79
479,@oguzksalici,79
480,@MustafaKurdas,79
481,@YvzbNgl,79
482,@uralakuzum,78
483,@AysenurArslan50,78
484,@ahuozyurt,77
485,@elifcakirr,77
486,@cem_ozer,77
487,@mt_goksu,77
488,@aksezen,77
489,@ruhsardemirel,77
490,@Ayla_Akat,76
491,@mahfiegilmez,76
492,@OPAMUKOGLU,76
493,@omurgedik,76
494,@bulent_korucu,76
495,@keremgorsev,75
496,@hamdialkan,75
497,@kazimmolla,75
498,@serdar_cam,74
499,@DemetAkalin,74
500,@akin_birdal,74
501,@burhansesen,74
502,@safakpavey,73
503,@bejanmatur,73
504,@SunayAkin,73
505,@semihsayginer,72
506,@umitnazliboyner,72
507,@ismailer_,72
508,@kutup_zencisi,72
509,@markaresayan,72
510,@DereogluBuket,72
511,@hasancelalguzel,72
512,@KaygusuzSema,72
513,@aliyucelen,71
514,@Ebru_Polat,71
515,@ayhansicimoglu,71
516,@esinovet,71
517,@SukruGENCBaskan,71
518,@alibabaoglan,70
519,@rodrikdani,70
520,@seferlevent,70
521,@EkremDumanli,70
522,@pinkfreud,70
523,@DOSTLARTIYATRO,69
524,@Ahmet_Davutoglu,68
525,@hasankoktas,68
526,@murattolga,68
527,@mesutyar,67
528,@forzabesiktas,67
529,@MuratYetkin2,67
530,@MehmetPerincek,67
531,@erolkaya_ist,67
532,@zaferalgoz,67
533,@simgefstk,65
534,@NaferErmis,65
535,@HadiOzisik,65
536,@Erhan_Celikk,65
537,@HAYKOCPQN,65
538,@arasbulent,65
539,@lifeisaturkubar,64
540,@VeyselEroglu,64
541,@yusufhalacoglu,64
542,@feramuzustun,64
543,@altinsaray,63
544,@ABabuscu,63
545,@cantongo,63
546,@mahmutovur,62
547,@behzatu,62
548,@Y_Akdogan,62
549,@femgucluturk,62
550,@BuketUzuner,62
551,@MevlutCavusoglu,62
552,@metinustundag,62
553,@pinarbihter,62
554,@omerrcelik,62
555,@Cevdet_Erdol,62
556,@gizem_ozdilli,62
557,@SemihaYanki,62
558,@Kaynarca_Oktay,61
559,@yildirim_turker,61
560,@ibrahimbetil,61
561,@ahmetyesiltepe,61
562,@gultekinbulent,61
563,@MHilalKaplan,61
564,@canereler,61
565,@canbonomo,60
566,@varank,60
567,@NumanKurtulmus,60
568,@sebnembozoklu,60
569,@OsmanGokcek_,60
570,@TartanHakan,60
571,@eylulonline,60
572,@ilkerbasbugcom,59
573,@imparatoribo,59
574,@dbdevletbahceli,58
575,@Uluc_Gurkan,58
576,@sgokbakar,58
577,@Reyhan_Karaca,58
578,@cengizsemercio,58
579,@mimarserdarinan,58
580,@takyildiz,57
581,@elonue,57
582,@onalfusun,57
583,@aydinsengul35,57
584,@yasar_gunacgun,57
585,@ihsandagi,56
