twrank,twhandle,twtext
1067,@yensaroglu,6
1068,@Burcakguven,6
1069,@tekalan,6
1070,@CalikogluLevent,6
1071,@EmrahSerbes,6
1072,@osmansrt,6
1073,@GozdeKansu,6
1074,@taylankumelii,6
1075,@Hande_Kazanova,6
1076,@ozlemsavas,6
1077,@utkucakirozer,6
1078,@GaroPaylan,6
1079,@CharaAsena,6
1080,@NamikTan,6
1081,@USEmbassyTurkey,6
1082,@MertGunok,6
1083,@mtekeli35,6
1084,@linetmenasi,6
1085,@OnurOymen,6
1086,@PelinBatuRevnak,6
1087,@Petekdncz,6
1088,@Reha_Muhtar,6
1089,@isilrecber,6
1090,@iremderici,6
1091,@SADIOZDEMIR,6
1092,@Trabzonspor,6
1093,@UgurMeleke,6
1094,@hakan_akkaya,6
1095,@haberalmehmet,6
1096,@YALINonline,6
1097,@_selcuksahin,6
1098,@abdulhamitgul,6
1099,@farukbalkonya,6
1100,@esatcanan,6
1101,@alpkirsan,6
1102,@ebru_sanci,6
1103,@drcemkece,6
1104,@badenzi,6
1105,@besmersoy,6
1106,@muratdidin,6
1107,@zuhaltopall,6
1108,@olcay_sahan10,6
1109,@ApoOguz,5
1110,@oulagay,5
1111,@ciftpelin,5
1112,@selin_demiratar,5
1113,@nesli17,5
1114,@ivanasertivana,5
1115,@nuhgonultas,5
1116,@sevil_atasoy,5
1117,@ilhankesici,5
1118,@ibrahimbuyukak,5
1119,@hozer200,5
1120,@yilmazerdogan,5
1121,@ArzuKaprol,5
1122,@volkankonak,5
1123,@Atiye,5
1124,@TayfunBAYAZIT,5
1125,@oykucelikkk,5
1126,@Uzulmez19,5
1127,@abdulkadiraksu1,5
1128,@BugraGulsoy,5
1129,@yilmazburak17,5
1130,@gokselonline,5
1131,@NahitKiler,5
1132,@AHMTKURAL,5
1133,@mansiz26,5
1134,@MuammerELVEREN,5
1135,@HanefiAvci2014,4
1136,@necatisler,4
1137,@HsynKrdy,4
1138,@sertaberener,4
1139,@AYMBASKANLIGI,4
1140,@mkdoksat,4
1141,@otaspinar,4
1142,@arslandidem,4
1143,@handealtayli,4
1144,@saadetisilaksoy,4
1145,@bekirtegun,4
1146,@ebrusallitan,4
1147,@halilmazicioglu,4
1148,@guvendikelif,4
1149,@farukec,4
1150,@gurcanbilgic,4
1151,@MercanDede,4
1152,@tuncaysanli17,4
1153,@Hdptugluk,4
1154,@SrnySrkyResmi,4
1155,@serdargut,4
1156,@ddemirkan,4
1157,@NhrErd,4
1158,@baristunay,4
1159,@OmerTemelli,4
1160,@ozlemyldz_,4
1161,@KerimcanG,4
1162,@sedaaonder,4
1163,@saglam_erdal,3
1164,@AltanTanrikulu,3
1165,@emreaydin,3
1166,@A_Behramoglu,3
1167,@seyhanbulent,3
1168,@emrecolak1010,3
1169,@Galip_Ozturk,3
1170,@Belcimb,3
1171,@zeynepturkes,3
1172,@Pinar_Selek,3
1173,@yilmazvuraltr,3
1174,@fatihurekk,3
1175,@odalga,3
1176,@yramazanoglu,3
1177,@gurcanbalik,3
1178,@nafigural,3
1179,@lezzetlipiyasa,3
1180,@YaseminCongar_,3
1181,@gorguntaner,3
1182,@ecem_gursel,3
1183,@TuncCigdem,3
1184,@TahaOzhan,3
1185,@seyyaltaner,3
1186,@tugba_ekinci,3
1187,@ErtugrulTSKRN,3
1188,@dsatmis,3
1189,@bernaertenn,3
1190,@ALLSTARhilmicem,3
1191,@ousankoc,3
1192,@sinanaaygun,3
1193,@PinarAylin,3
1194,@gamzekaraman,2
1195,@davala22,2
1196,@_AAlbayrak,2
1197,@1VolkanDEMIREL,2
1198,@tugbamlstrk,2
1199,@aselcukilkan,2
1200,@vatan_sasmaz,2
1201,@Atalay_Besir,2
1202,@aysekarabat,2
1203,@candemirkoray,2
1204,@8Selcukinan,2
1205,@avomerturanli,2
1206,@buyukersen,2
1207,@KorgEnginAlan,2
1208,@cemseymen,2
1209,@erginataman,2
1210,@ercaninanvatan,2
1211,@KadirMisiroglu,2
1212,@pekkan1,2
1213,@YUlker,2
1214,@Nilufergole,2
1215,@sinancetinplato,2
1216,@mentesmurat,2
1217,@saygi_ozturk,2
1218,@UmitMeric,2
1219,@nurisahin05,2
1220,@sbrymr,2
1221,@ozgurcek60,2
1222,@Toramanibrahim,2
1223,@Cihannaofficial,2
1224,@simgetertemizz,2
1225,@simaybulbul,2
1226,@kemallaktas,2
1227,@SerdalAdali_BJK,2
1228,@SedaKaya_12,2
1229,@SIRIN_UNAL,2
1230,@DDeryaBaykal,2
1231,@neco_ates,2
1232,@YigiterUlug,2
1233,@WilmaElles,2
1234,@myalcintas,2
1235,@GonenCenk,2
1236,@msarikaya6,2
1237,@CelalToprak1,2
1238,@Minetugay,2
1239,@MeetinOzulku,2
1240,@tanerbirsell,2
1241,@sedaurenNet,1
1242,@AlAlatli,1
1243,@meryemuzerli,1
1244,@MesutOzil1088,1
1245,@beyazit_ozturk,1
1246,@AAUGUR,1
1247,@OzanDogulu,1
1248,@karamanhikmet,1
1249,@dalphan,1
1250,@ceceydates,1
1251,@roberhatemo75,1
1252,@kivanctatlitug,1
1253,@Akelebru,1
1254,@GlmErsan,1
1255,@koraybirand,1
1256,@FilizTcbs,1
1257,@leylazanainfo,1
1258,@AhmetTasgetiren,1
1259,@zaferyavan,1
1260,@Patavatsiz,1
1261,@bayjshow,1
1262,@bennugerede,1
1263,@gokhantepemusic,1
1264,@sibelgokce,1
1265,@ProfDrFarukSen,1
1266,@niranunsal,1
1267,@tarkan,1
1268,@gamze_saracoglu,1
1269,@Zerrintekindor,1
1270,@ZubeyirAydar,1
1271,@BursasporSk,1
1272,@tarhanerdem,1
1273,@_nbc_,1
1274,@syukselsenler,1
1275,@_ugurboral,1
1276,@gulsenin,1
1277,@JulideAtes,1
1278,@LeventTuzemen,1
1279,@acunilicali,1
1280,@Ilterkemal,1
1281,@BarisOrnarli,1
1282,@ahmetturanalkan,1
1283,@DengirFirat,1
1284,@erbilmehmetali,1
1285,@omermadra,1
1286,@TugbaSahiin,1
1287,@edaeceu,1
1288,@alperkul,1
1289,@DrArguden,1
1290,@Tahir_Akyurek,1
1291,@eadksk,1
1292,@TANYELIyle,1
1293,@gokhanozen,1
1294,@SirinEBayulgen,1
1295,@sezenaksu,1
1296,@onanarzum,1
